,Construction Cost,Route Distance,alpha,fractionTruckRangeAllowed,Constraint Violated
0,26378250,1745300,0.05,0.5,FALSE
1,26378250,1745300,0.06,0.5,FALSE
2,27606750,1834224,0.07,0.5,FALSE
3,26378250,1745300,0.08,0.5,FALSE
4,26378250,1745300,0.09,0.5,FALSE
5,26378250,1745300,0.1,0.5,FALSE
6,26378250,1745300,0.11,0.5,FALSE
7,26378250,1745300,0.12,0.5,FALSE
8,26378250,1745300,0.13,0.5,FALSE
9,26378250,1745300,0.14,0.5,FALSE
10,25645875,2218931,0.05,0.55,FALSE
11,25645875,2218931,0.06,0.55,FALSE
12,25645875,2218931,0.07,0.55,FALSE
13,25645875,2218931,0.08,0.55,FALSE
14,25645875,2218931,0.09,0.55,FALSE
15,25645875,2218931,0.1,0.55,FALSE
16,25645875,2218931,0.11,0.55,FALSE
17,25645875,2218931,0.12,0.55,FALSE
18,25645875,2218931,0.13,0.55,FALSE
19,25645875,2218931,0.14,0.55,FALSE
20,24420250,1790224,0.05,0.6,TRUE
21,25129000,1740394,0.06,0.6,TRUE
22,24420250,1790224,0.07,0.6,TRUE
23,24420250,1790224,0.08,0.6,TRUE
24,24420250,1790224,0.09,0.6,TRUE
25,24420250,1790224,0.1,0.6,TRUE
26,24420250,1790224,0.11,0.6,TRUE
27,24420250,1790224,0.12,0.6,TRUE
28,24420250,1790224,0.13,0.6,TRUE
29,24420250,1790224,0.14,0.6,TRUE
30,23241875,1626731,0.05,0.65,TRUE
31,23241875,1626731,0.06,0.65,TRUE
32,23241875,1626731,0.07,0.65,TRUE
33,23241875,1626731,0.08,0.65,TRUE
34,23241875,1626731,0.09,0.65,TRUE
35,23241875,1626731,0.1,0.65,TRUE
36,23241875,1626731,0.11,0.65,TRUE
37,23241875,1626731,0.12,0.65,TRUE
38,23241875,1626731,0.13,0.65,TRUE
39,23241875,1626731,0.14,0.65,TRUE
40,22462250,1926663,0.05,0.7,TRUE
41,22556750,1926663,0.06,0.7,TRUE
42,22462250,1926663,0.07,0.7,TRUE
43,22462250,1926663,0.08,0.7,TRUE
44,22766500,1985590,0.09,0.7,TRUE
45,22745750,1948835,0.1,0.7,TRUE
46,23357125,2597029,0.11,0.7,TRUE
47,22462250,1926663,0.12,0.7,TRUE
48,22462250,1926663,0.13,0.7,TRUE
49,22462250,1926663,0.14,0.7,TRUE
50,21871625,2068222,0.05,0.75,FALSE
51,20406875,1901914,0.06,0.75,FALSE
52,20406875,1901914,0.07,0.75,FALSE
53,20406875,1901914,0.08,0.75,FALSE
54,20406875,1901914,0.09,0.75,FALSE
55,20406875,1901914,0.1,0.75,FALSE
56,20406875,1901914,0.11,0.75,FALSE
57,20406875,1901914,0.12,0.75,FALSE
58,20406875,1901914,0.13,0.75,FALSE
59,20406875,1901914,0.14,0.75,FALSE
60,20076125,1984553,0.05,0.8,FALSE
61,20076125,1984553,0.06,0.8,FALSE
62,20076125,1984553,0.07,0.8,FALSE
63,20076125,1984553,0.08,0.8,FALSE
64,20076125,1984553,0.09,0.8,FALSE
65,20076125,1984553,0.1,0.8,FALSE
66,20076125,1984553,0.11,0.8,FALSE
67,20076125,1984553,0.12,0.8,FALSE
68,20076125,1984553,0.13,0.8,FALSE
69,20076125,1984553,0.14,0.8,FALSE
70,19934375,1930901,0.05,0.85,FALSE
71,19934375,1930901,0.06,0.85,FALSE
72,19934375,1930901,0.07,0.85,FALSE
73,19934375,1930901,0.08,0.85,FALSE
74,19934375,1930901,0.09,0.85,FALSE
75,19934375,1930901,0.1,0.85,FALSE
76,19934375,1930901,0.11,0.85,FALSE
77,20076125,1958743,0.12,0.85,FALSE
78,19934375,1930901,0.13,0.85,FALSE
79,19934375,1930901,0.14,0.85,FALSE
80,18897750,2356967,0.05,0.9,TRUE
81,18897750,2356967,0.06,0.9,TRUE
82,18897750,2356967,0.07,0.9,TRUE
83,18897750,2356967,0.08,0.9,TRUE
84,18897750,2356967,0.09,0.9,TRUE
85,18897750,2356967,0.1,0.9,TRUE
86,18897750,2356967,0.11,0.9,TRUE
87,18897750,2356967,0.12,0.9,TRUE
88,18897750,2356967,0.13,0.9,TRUE
89,18897750,2356967,0.14,0.9,TRUE
90,18850500,1958434,0.05,0.95,TRUE
91,18519750,2013641,0.06,0.95,TRUE
92,18519750,2013641,0.07,0.95,TRUE
93,18519750,2013641,0.08,0.95,TRUE
94,18519750,2013641,0.09,0.95,TRUE
95,18519750,2013641,0.1,0.95,TRUE
96,18519750,2013641,0.11,0.95,TRUE
97,18708750,2411235,0.12,0.95,TRUE
98,18519750,2013641,0.13,0.95,TRUE
99,18519750,2013641,0.14,0.95,TRUE
